index,name,time,benchmark_grp,benchmark_id,benchtime_ms,cores,dataprocessed,host_IPC,host_IPS,host_cache_misses,host_cache_ref,host_cpupercent,host_cs,host_disk_io,host_kvm_exit,host_llc_bw,host_mem_bw,host_memory,host_net_io,host_sched_iowait,host_sched_switch,host_sched_wait,intensity,interference,interval,kernel,latency,performance,latency90,process_dur_ms,throughput,total_dur_ms,web_IPC,web_IPS,web_cache_misses,web_cache_ref,web_cpupercent,web_cs,web_disk,web_kvm_exit,web_llc_bw,web_mem_bw,web_memory,web_net,web_sched_iowait,web_sched_switch,web_sched_wait,weighted_latency,index_prev
16,parsec,1.48E+18,1481661405,prev,1.48E+12,0,TRUE,0.366,239103902,4818308,87565570,14.047,2595,46.002,8745,41447636.5,5327419.5,3005.535,3.871,4005395.5,2587,915496.5,0.001,;8,2,base,0.000001,189887,0.001,21.757,2,27.725,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001,
17,parsec,1.48E+18,1481661405,img_processing,1.48E+12,0,TRUE,0.339,245444902.3,4942284.5,79823352,22.506,2836,8,9768,86065156,25052624,3006.137,145.121,17056094.75,2829,2982007.25,0.001,;8,2,base,0.202476,0.93782473,205.329,24.394,20,30.711,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,101.238,16
18,parsec,1.48E+18,1481661405,prev,1.48E+12,0,TRUE,0.303,219806949.5,5351261,75089365,11.242,3622,39.993,12684,40533604.5,5977253,3007.035,3.818,4182788.5,3610,519153,0.001,;9,2,base,0.000001,189887,0.001,20.893,2,25.867,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001,
19,parsec,1.48E+18,1481661405,img_processing,1.48E+12,0,TRUE,0.282,240140587.5,6296405.5,84815579,19.161,4451,94.995,14596,107067335,29437291,3007.883,141.789,100238428.5,4446,1054117.5,0.001,;9,2,base,0.199585,0.951409174,203.263,21.042,20,26.16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,99.793,18
20,parsec,1.48E+18,1481661405,prev,1.48E+12,0,TRUE,0.319,243624109,6510504.5,92368432,10.088,4816,53.999,16533,66589028.5,6356878,3006.406,3.645,11915873,4804,1745340.5,0.001,;10,2,base,0.000001,189887,0.001,22.711,2,28.621,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001,
21,parsec,1.48E+18,1481661405,img_processing,1.48E+12,0,TRUE,0.283,228391022.5,6954880.5,85522669,17.647,5011,11,18085,111685102.5,22692284.5,3005.297,154.822,3790103.5,5006,2203898,0.001,;10,2,base,0.198917,0.954604182,203.605,25.345,20,32.793,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,99.459,20
22,parsec,1.48E+18,1481661405,prev,1.48E+12,0,TRUE,0.285,196287915,5590407,76080889.5,11.389,3888,9,13409,43659125,4699506.5,3006.684,3.827,22599835.5,3876,1041241.5,0.001,;11,2,base,0.000001,189887,0.001,20.703,2,27.571,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001,
23,parsec,1.48E+18,1481661405,img_processing,1.48E+12,0,TRUE,0.36,272684205,6386022,95783088,19.523,4142,27.997,14493,95009295.5,21662887.5,2998.301,166.316,9814953,4126,1626060.5,0.001,;11,2,base,0.197983,0.9591076,202.132,187.86,20,194.223,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,98.992,22
24,parsec,1.48E+18,1481661405,prev,1.48E+12,0,TRUE,0.267,201001980.3,5750928.75,74636081,10.26,4231,33,14678,54099250.25,6391499.25,3005.688,3.841,26721233.5,4223,334589,0.001,;12,2,base,0.000001,189887,0.001,23.366,2,29.841,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001,
25,parsec,1.48E+18,1481661405,img_processing,1.48E+12,0,TRUE,0.348,280157058.5,6995053.5,96798555,18.422,4942,30.001,19208,96632740.5,21545296,3005.18,149.851,4213221.5,4940,926074,0.001,;12,2,base,0.19671,0.965314422,197.884,21.901,20,29.32,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,98.355,24
