index,name,time,benchmark_grp,benchmark_id,benchtime_ms,cores,dataprocessed,host_IPC,host_IPS,host_cache_misses,host_cache_ref,host_cpupercent,host_cs,host_disk_io,host_kvm_exit,host_llc_bw,host_mem_bw,host_memory,host_net_io,host_sched_iowait,host_sched_switch,host_sched_wait,intensity,interference,interval,kernel,latency,performance,latency90,process_dur_ms,throughput,total_dur_ms,web_IPC,web_IPS,web_cache_missesweb_kvm_exit,web_cache_ref,web_cpupercent,web_cs,web_disk,web_llc_bw,web_mem_bw,web_memory,web_net,web_sched_iowait,web_sched_switch,web_sched_wait,weighted_latency,interference_prev,index_prev
10,parsec,1.48e+18,1481131355,parsec.blackscholes,1.48e+12,0,True,0.326,619703270.5,27531586.5,248879220.5,69.273,28461,197.009,126739.0,468736349.5,149106211.0,6876.031,19.26,97062556.0,28456,250372803.0,0.001,;12;6;14;17;12;15,2,base,0.08,0.9875,0.08,121.572,6,127.249,0.272,40732140.5,1908444.5,25238512.0,8.751,1197,1.005,12918682.5,3638428.0,2048,1.726,12953,32904886.0,1195,0.04,;12;6;14;17;12;15;1,725.0
11,parsec,1.48e+18,1481131355,parsec.blackscholes,1.48e+12,0,True,0.345,694409545.5,28410090.5,273084213.0,77.782,29400,243.136,164165.0,445081943.0,151076595.0,7708.004,17.504,56388098.5,29402,801417330.5,0.001,;12;6;14;17;12;15;12,2,base,0.082,0.963414634146,0.084,35.016,6,40.12,0.304,46412580.0,2243211.5,23698809.0,8.884,1244,23.986,15745018.0,4040617.0,2048,2.298,19805,600671.5,1247,0.041,;12;6;14;17;12;15;12;1,576.0
12,parsec,1.48e+18,1481131355,parsec.blackscholes,1.48e+12,0,True,0.413,875645473.0,27758202.0,312757346.0,81.876,26242,192.967,281828.0,390767707.0,132873764.5,9290.672,19.173,50932513.0,26246,2323796108.0,0.001,;12;6;14;17;12;15;12;18,2,base,0.096,0.822916666667,0.111,104.072,6,108.429,0.504,82890345.5,1703665.5,24642194.0,8.243,1017,0.0,29824376.5,5759043.5,2048,1.87,36058,112231.0,1021,0.048,;12;6;14;17;12;15;12;18;1,895.0
13,parsec,1.48e+18,1481131355,parsec.blackscholes,1.48e+12,0,True,0.32,564096264.5,23411915.5,229112765.5,69.079,22196,131.014,102252.0,453373875.5,123109383.5,6869.848,18.287,35506065.5,22197,261964374.5,0.001,;13;16;17;19;4;19,2,base,0.08,0.9875,0.081,123.712,6,128.223,0.394,54401920.0,2168356.0,21039576.0,9.059,1307,26.922,15465442.5,4632166.0,2048,2.582,13336,2040897.5,1308,0.04,;13;16;17;19;4;19;1,959.0
14,parsec,1.48e+18,1481131355,parsec.blackscholes,1.48e+12,0,True,0.396,747877271.0,25139503.5,274335837.0,82.484,23408,193.997,255341.0,364271376.0,123463101.0,8757.367,20.626,34390117.0,23400,2273329255.0,0.001,;13;16;17;19;4;19;5;14,2,base,0.084,0.940476190476,0.086,105.814,6,111.28,0.402,67235036.0,1963002.5,25797094.0,8.534,975,19.944,8938861.0,2424390.5,2048,1.678,31810,3866843.5,983,0.042,;13;16;17;19;4;19;5;14;1,674.0
15,parsec,1.48e+18,1481131355,parsec.blackscholes,1.48e+12,0,True,0.45,914566714.0,24567786.5,321717686.5,86.233,20401,395.963,365597.0,301192903.5,106025336.5,10908.605,16.863,110567512.5,20421,4019029165.0,0.001,;13;16;17;19;4;19;5;14;1,2,base,0.11,0.718181818182,0.133,72.267,4,76.692,0.447,80388933.0,1829186.0,31860564.0,8.247,1019,776.709,13844748.0,4848208.0,2048,1.592,35100,15470073.0,1015,0.055,;13;16;17;19;4;19;5;14;1;1,14.0
16,parsec,1.48e+18,1481131355,parsec.blackscholes,1.48e+12,0,True,0.467,1038041985.0,27297763.5,345861126.5,87.237,22736,137.011,436609.0,303775180.0,104901201.5,10660.469,19.567,9883604.5,22736,4407341757.0,0.001,;14;11;18;5;10;14;3;19;2,2,base,0.084,0.940476190476,0.086,56.96,4,62.275,0.665,90650904.5,1595517.0,24058602.5,7.727,878,0.0,10819170.0,3558171.5,2048,0.814,41376,2890821.75,883,0.042,;14;11;18;5;10;14;3;19;2;1,82.0
17,parsec,1.48e+18,1481131355,parsec.blackscholes,1.48e+12,0,True,0.545,1263989062.0,25150997.0,396605904.5,91.312,17485,176.996,588547.5,236108999.0,72107651.0,12197.535,18.582,27037230.5,17447,6423226026.0,0.001,;14;11;18;5;10;14;3;19;2;3,2,base,0.087,0.908045977011,0.087,320.157,2,325.174,0.598,112775679.5,1432748.0,33446021.5,7.402,742,0.997,7556088.0,2504781.0,2048,1.106,55361,296176.0,742,0.043,;14;11;18;5;10;14;3;19;2;3;1,129.0
18,parsec,1.48e+18,1481131355,parsec.blackscholes,1.48e+12,0,True,0.315,567473589.0,25018780.5,231606375.0,70.292,25247,208.924,120639.0,430709229.0,116202802.5,6873.277,19.514,42315162.0,25235,310963534.0,0.001,;15;17;2;11;18;12,2,base,0.08,0.9875,0.081,120.775,6,125.214,0.566,83833745.5,2389358.5,27373850.0,8.967,1383,4.025,2141289.0,560948.0,2048,1.924,16097,1074223.5,1369,0.04,;15;17;2;11;18;12;1,579.0
19,parsec,1.48e+18,1481131355,parsec.blackscholes,1.48e+12,0,True,0.338,619518753.0,26030889.0,247902322.5,76.868,25471,162.0,160410.0,414239517.5,136060735.0,7813.359,19.176,36743503.0,25461,870420136.0,0.001,;15;17;2;11;18;12;16,2,base,0.081,0.975308641975,0.083,37.676,6,42.163,0.325,45737606.5,2192880.0,18734769.5,8.767,1213,0.0,13523111.0,3289112.0,2048,1.714,18586,139976.0,1235,0.041,;15;17;2;11;18;12;16;1,796.0
