index,name,time,benchmark_grp,benchmark_id,benchtime_ms,cores,dataprocessed,host_IPC,host_IPS,host_cache_misses,host_cache_ref,host_cpupercent,host_cs,host_disk_io,host_kvm_exit,host_llc_bw,host_mem_bw,host_memory,host_net_io,host_sched_iowait,host_sched_switch,host_sched_wait,intensity,interference,interval,kernel,latency,performance,latency90,process_dur_ms,throughput,total_dur_ms,weighted_latency,index_prev
1749,parsec,1.48E+18,1484091410,prev,1.48E+12,0,TRUE,0.641,2855788861,376104,131846818.5,75.97,1023,112,562514.5,0,2536642.528,1448.563,2.052,55035876.5,1023,14652322,0.001,;1;12;7,2,base,0.000001,217290,0.001,18.498,2,24.491,0.001,
1750,parsec,1.48E+18,1484091410,img_processing,1.48E+12,0,TRUE,0.613,3187022628,1013795,151223432.5,99.625,1258,41,647106.5,0,11387497.84,1456.93,111.73,24926265,1258,39104287,0.001,;1;12;7,2,base,0.226672,0.958609797,230.906,18.646,18,24.809,113.336,1749
1751,parsec,1.48E+18,1484091410,prev,1.48E+12,0,TRUE,0.646,2807957232,329168,127818850,75.91,825,80.001,549270.5,0,2385901.942,1450.781,1.585,11243721,824,10681755,0.001,;1;12;8,2,base,0.000001,217290,0.001,18.887,2,25.211,0.001,
1752,parsec,1.48E+18,1484091410,img_processing,1.48E+12,0,TRUE,0.616,3089691050,906367.5,147101024,99.625,1409,80,633720.5,0,11596364.95,1450.441,111.343,62514978,1409,45067193,0.001,;1;12;8,2,base,0.225169,0.965008505,227.686,18.856,18,26.24,112.585,1751
1753,parsec,1.48E+18,1484091410,prev,1.48E+12,0,TRUE,0.639,3095763273,394146,142335085.5,75.312,1121,101.001,604672,0,2590322.593,1451.691,1.62,42056541.5,1120,9406320,0.001,;1;12;9,2,base,0.000001,217290,0.001,20.968,2,26.777,0.001,
1754,parsec,1.48E+18,1484091410,img_processing,1.48E+12,0,TRUE,0.614,3257394104,927305.5,158171638,99.625,1431,95.999,673621.5,0,11573449.94,1457.426,111.613,65815359,1431,35242235.5,0.001,;1;12;9,2,base,0.230045,0.944554326,231.537,18.035,18,24.288,115.022,1753
1755,parsec,1.48E+18,1484091410,prev,1.48E+12,0,TRUE,0.642,3194877665,446208,146036505,75.406,1005,79,629597.5,0,2568085.252,1457.922,2.156,47169481,1003,12314521.5,0.001,;1;12;10,2,base,0.000001,217290,0.001,19.819,2,25.789,0.001,
1756,parsec,1.48E+18,1484091410,img_processing,1.48E+12,0,TRUE,0.619,3403860573,1059218,161994230,99.374,1474,139.997,692985,0,11208761.13,1468.371,111.65,27529740,1474,49496573,0.001,;1;12;10,2,base,0.231128,0.940128414,233.632,18.627,18,24.084,115.564,1755
1757,parsec,1.48E+18,1484091410,prev,1.48E+12,0,TRUE,0.645,2985147835,369319,140456418.5,75.875,1035,156,582517.5,0,2473700.64,1460.188,2.092,66141534.5,1034,16630800,0.001,;1;12;11,2,base,0.000001,217290,0.001,21.564,2,29.92,0.001,
1758,parsec,1.48E+18,1484091410,img_processing,1.48E+12,0,TRUE,0.617,3346693378,1047176.5,158069296.5,99.625,1208,71.001,676869,0,11630620.26,1456.648,111.416,22806559.5,1208,45632326,0.001,;1;12;11,2,base,0.223109,0.973918578,223.96,18.291,18,23.81,111.555,1757
1759,parsec,1.48E+18,1484091410,prev,1.48E+12,0,TRUE,0.644,3244281897,409172,145859436,75.375,949,129.996,631876,0,2442753.354,1458.863,1.667,33254952.5,948,12493676,0.001,;1;12;12,2,base,0.000001,217290,0.001,19.625,2,25.549,0.001,
1760,parsec,1.48E+18,1484091410,img_processing,1.48E+12,0,TRUE,0.617,3379490259,986367.5,161355992.5,99.625,1293,62,686122.5,0,11214905.69,1446.359,99.479,22590775.5,1293,38815562,0.001,;1;12;12,2,base,0.223897,0.970490895,230.723,19.343,18,25.54,111.948,1759
1761,parsec,1.48E+18,1484091410,prev,1.48E+12,0,TRUE,0.641,3162015213,410929,144787372,75,1029,74,619602.5,0,2758196.088,1448.488,1.747,20656386,1025,21388904,0.001,;1;13;1,2,base,0.000001,217290,0.001,24.644,2,34.717,0.001,
1762,parsec,1.48E+18,1484091410,img_processing,1.48E+12,0,TRUE,0.615,3392726724,1057619.5,159732476.5,99.377,1378,98,689161,0,10785988.27,1457.492,111.572,14869848.5,1373,42689851.5,0.001,;1;13;1,2,base,0.231407,0.938994931,232.957,21.459,18,28.945,115.704,1761
1763,parsec,1.48E+18,1484091410,prev,1.48E+12,0,TRUE,0.642,3092042171,355914,140859958.5,75.063,871,96,604911.5,0,2409345.09,1455.434,2.105,29590817.5,870,8599185,0.001,;1;13;2,2,base,0.000001,217290,0.001,26.949,2,34.557,0.001,
1764,parsec,1.48E+18,1484091410,img_processing,1.48E+12,0,TRUE,0.61,3059754474,975673.5,148562356,99.625,1573,151.001,626439,0,11378474.37,1459.395,112.095,82101876.5,1573,59246435.5,0.001,;1;13;2,2,base,0.231972,0.936707879,233.302,19.438,18,26.913,115.986,1763
1765,parsec,1.48E+18,1484091410,prev,1.48E+12,0,TRUE,0.669,3191554494,359996,137306337,75.72,898,153,587761.5,0,2785053.984,1456.078,1.851,11130934.5,898,9832000,0.001,;1;13;3,2,base,0.000001,217290,0.001,25.803,2,33.092,0.001,
1766,parsec,1.48E+18,1484091410,img_processing,1.48E+12,0,TRUE,0.624,3357335507,916731.75,156696333,99.625,1364,78,670994.25,0,11301705.41,1453.156,105.455,47535703.75,1364,36722463.25,0.001,;1;13;3,2,base,0.231796,0.93741911,233.626,21.123,18,29.275,115.898,1765
1767,parsec,1.48E+18,1484091410,prev,1.48E+12,0,TRUE,0.636,2932948054,415434,133059666.5,75.408,1039,128.999,572510,0,3700943.964,1458.77,1.938,148760573,1035,13778651.5,0.001,;1;13;4,2,base,0.000001,217290,0.001,20.198,2,25.51,0.001,
1768,parsec,1.48E+18,1484091410,img_processing,1.48E+12,0,TRUE,0.608,3117829271,1078594,149617041,99.562,1287,106.5,644564.5,0,12042155.41,1461.791,105.369,58574057,1287,34289952.5,0.001,;1;13;4,2,base,0.231431,0.938897555,234.524,19.721,18,25.505,115.715,1767
1769,parsec,1.48E+18,1484091410,prev,1.48E+12,0,TRUE,0.638,3014263252,396202,139172887,75.125,839,70,595090,0,4222906.581,1458.07,1.759,57656186.5,838,13144046.5,0.001,;1;13;5,2,base,0.000001,217290,0.001,20.777,2,26.127,0.001,
1770,parsec,1.48E+18,1484091410,img_processing,1.48E+12,0,TRUE,0.613,3158418510,1077985.5,150447899,99.625,1316,129.998,648420.5,0,12443018.89,1465.406,99.277,19004084,1316,43570534,0.001,;1;13;5,2,base,0.231981,0.936671538,234.045,19.087,18,24.071,115.99,1769
1771,parsec,1.48E+18,1484091410,prev,1.48E+12,0,TRUE,0.635,2847149085,621236.5,130851893,75.282,1047,96.992,566506.5,0,7326702.176,1470.98,1.71,46584180.5,1047,13689157.5,0.001,;1;13;6,2,base,0.000001,217290,0.001,20.478,2,26.013,0.001,
