index,name,time,benchmark_grp,benchmark_id,benchtime_ms,cores,dataprocessed,host_IPC,host_IPS,host_cache_misses,host_cache_ref,host_cpupercent,host_cs,host_disk_io,host_kvm_exit,host_llc_bw,host_mem_bw,host_memory,host_net_io,host_sched_iowait,host_sched_switch,host_sched_wait,intensity,interference,interval,kernel,latency,performance,latency90,process_dur_ms,throughput,total_dur_ms,web_IPC,web_IPS,web_cache_missesweb_kvm_exit,web_cache_ref,web_cpupercent,web_cs,web_disk,web_llc_bw,web_mem_bw,web_memory,web_net,web_sched_iowait,web_sched_switch,web_sched_wait,weighted_latency,interference_prev,index_prev
13,parsec,1.48136e+18,1481353479,parsec.blackscholes,1.48136e+12,0,True,0.273,570493968.0,3094444.0,33968945.5,61.079,22622,78.0,65518,0,23822110.5,1838.973,0,37733098.0,22609,356198950.0,0.001,;9;17;15,2,base,0.056,0.928571428571,0.064,19.826,8,25.159,,,,,,,,,,,,,,,0.028,;9;17;15;1,387.0
14,parsec,1.48135e+18,1481353479,parsec.bodytrack,1.48135e+12,0,True,0.392,347722755.5,1692157.0,15428966.5,16.614,6177,13.0,9517,0,3534767.0,618.367,0,34238708.0,6175,45116673.0,0.001,;,2,base,0.153,1.0,0.177,18.836,6,26.308,,,,,,,,,,,,,,,0.076,;2,
15,parsec,1.48136e+18,1481353479,parsec.bodytrack,1.48136e+12,0,True,0.261,515917545.5,3518203.0,28194911.0,79.231,17668,83.0,65545,0,24968404.0,2648.141,0,54634406.5,17668,3615655275.0,0.001,;10;3;11;15;18,2,base,0.277,0.552346570397,0.295,24.91,4,30.206,,,,,,,,,,,,,,,0.139,;10;3;11;15;18;2,449.0
16,parsec,1.48136e+18,1481353479,parsec.bodytrack,1.48136e+12,0,True,0.277,342092632.5,3207016.0,15081982.5,96.103,7653,1410.997,26593,0,15405770.0,3391.406,0,67757733.5,7655,9528395028.0,0.001,;10;3;11;15;18;2;4,2,base,0.339,0.451327433628,0.339,27.889,2,36.959,,,,,,,,,,,,,,,0.17,;10;3;11;15;18;2;4;2,71.0
17,parsec,1.48136e+18,1481353479,parsec.bodytrack,1.48136e+12,0,True,0.281,533988934.0,3480755.5,27189715.0,67.864,17231,249.009,52679,0,26419095.5,2681.082,0,118930084.5,17230,3454010780.0,0.001,;11;13;15;6;19,2,base,0.282,0.542553191489,0.284,127.361,4,133.695,,,,,,,,,,,,,,,0.141,;11;13;15;6;19;2,473.0
18,parsec,1.48136e+18,1481353479,parsec.bodytrack,1.48136e+12,0,True,0.28,440949005.5,3311428.5,21702822.0,88.135,12885,60.001,40348,0,20491644.0,3122.992,0,8775553.0,12882,5947806887.0,0.001,;11;13;15;6;19;2,2,base,0.35,0.437142857143,0.35,27.752,2,33.421,,,,,,,,,,,,,,,0.175,;11;13;15;6;19;2;2,17.0
19,parsec,1.48136e+18,1481353479,parsec.bodytrack,1.48136e+12,0,True,0.279,329468904.5,3327998.0,14113021.5,99.122,6961,1875.002,23046,0,15847626.5,3477.641,0,27004568.0,6961,9754195489.0,0.001,;11;13;15;6;19;2;13,2,base,0.428,0.357476635514,0.428,30.016,2,36.404,,,,,,,,,,,,,,,0.214,;11;13;15;6;19;2;13;2,312.0
20,parsec,1.48136e+18,1481353479,parsec.bodytrack,1.48136e+12,0,True,0.28,434550203.0,3098537.0,21429557.5,87.476,12509,5235.886,39100,0,14977761.5,3120.93,0,243653517.0,12509,6158981340.0,0.001,;12;18;11;1;18;19,2,base,0.295,0.518644067797,0.295,26.371,2,31.801,,,,,,,,,,,,,,,0.147,;12;18;11;1;18;19;2,475.0
21,parsec,1.48136e+18,1481353479,parsec.bodytrack,1.48136e+12,0,True,0.273,555554315.0,2919533.0,33336809.0,62.492,22011,49.999,62857,0,20827307.0,1831.176,0,22536524.0,22006,417364781.5,0.001,;13;15;18,2,base,0.199,0.768844221106,0.212,25.462,8,31.38,,,,,,,,,,,,,,,0.1,;13;15;18;2,453.0
22,parsec,1.48136e+18,1481353479,parsec.bodytrack,1.48136e+12,0,True,0.28,496053690.5,3402793.0,24836259.0,80.983,15505,49.0,48665,0,22901199.5,2577.535,0,5820979.0,15504,3835436404.0,0.001,;14;16;9;13;20,2,base,0.298,0.513422818792,0.298,145.009,4,150.862,,,,,,,,,,,,,,,0.149,;14;16;9;13;20;2,497.0
23,parsec,1.48136e+18,1481353479,parsec.bodytrack,1.48136e+12,0,True,0.306,489780489.5,3653907.5,20644891.0,92.152,11941,7071.163,37470,0,25793266.5,2999.281,0,141663763.0,11932,6354077538.0,0.001,;15;6;11;8;14;6,2,base,0.247,0.619433198381,0.247,26.178,2,32.139,,,,,,,,,,,,,,,0.123,;15;6;11;8;14;6;2,126.0
24,parsec,1.48136e+18,1481353479,parsec.bodytrack,1.48136e+12,0,True,0.264,483559491.0,3139186.0,28495554.0,73.894,17458,79.0,50159,0,18703731.5,2188.398,0,28759584.0,17457,1727218413.0,0.001,;16;19;17;8,2,base,0.194,0.788659793814,0.205,20.629,6,26.891,,,,,,,,,,,,,,,0.097,;16;19;17;8;2,183.0
25,parsec,1.48136e+18,1481353479,parsec.bodytrack,1.48136e+12,0,True,0.28,485632189.0,3245665.5,25095269.0,80.818,15021,70.0,44386,0,18854388.5,2583.918,0,7445409.0,15021,3788330654.0,0.001,;16;19;17;8;11,2,base,0.227,0.674008810573,0.241,26.628,4,32.003,,,,,,,,,,,,,,,0.114,;16;19;17;8;11;2,265.0
26,parsec,1.48136e+18,1481353479,parsec.bodytrack,1.48136e+12,0,True,0.277,337085945.5,3148505.5,15200491.5,98.558,7684,108.002,23100,0,13585146.5,3396.516,0,51432418.5,7679,9410432692.0,0.001,;17;13;18;16;6;13;6,2,base,0.557,0.274685816876,0.557,33.265,2,39.837,,,,,,,,,,,,,,,0.279,;17;13;18;16;6;13;6;2,131.0
27,parsec,1.48136e+18,1481353479,parsec.bodytrack,1.48136e+12,0,True,0.285,453990292.0,2923036.5,23712068.0,79.372,13991,82.998,39540,0,14913448.0,2234.121,0,80713913.0,13991,2352307083.0,0.001,;18;8;7;20,2,base,0.26,0.588461538462,0.289,65.883,6,71.897,,,,,,,,,,,,,,,0.13,;18;8;7;20;2,501.0
28,parsec,1.48136e+18,1481353479,parsec.bodytrack,1.48136e+12,0,True,0.302,422969677.0,2980261.5,18749547.0,89.333,10274,1618.024,30174,0,14305577.0,3080.816,0,70010051.0,10273,6448917293.0,0.001,;18;8;7;20;18;12,2,base,0.287,0.533101045296,0.287,26.01,2,31.425,,,,,,,,,,,,,,,0.143,;18;8;7;20;18;12;2,295.0
29,parsec,1.48136e+18,1481353479,parsec.bodytrack,1.48136e+12,0,True,0.294,520110003.0,2666401.5,28394800.0,63.342,16401,50.001,45283,0,14757310.5,1878.516,0,16108524.0,16399,471535268.0,0.001,;19;17;8,2,base,0.194,0.788659793814,0.207,18.63,6,23.6,,,,,,,,,,,,,,,0.097,;19;17;8;2,187.0
30,parsec,1.48136e+18,1481353479,parsec.bodytrack,1.48136e+12,0,True,0.28,444862590.5,2711492.0,24377556.0,68.679,14153,214.996,39356,0,13589577.5,2187.73,0,47237055.0,14151,1178363789.0,0.001,;20;7;8;16,2,base,0.234,0.653846153846,0.257,24.117,6,29.687,,,,,,,,,,,,,,,0.117,;20;7;8;16;2,406.0
31,parsec,1.48136e+18,1481353479,parsec.bodytrack,1.48136e+12,0,True,0.294,583321012.0,2886596.5,29617580.5,66.455,17156,58.001,63776,0,23899910.0,1856.402,0,40112691.0,17156,522965790.0,0.001,;3;9;5,2,base,0.184,0.83152173913,0.197,25.944,8,32.006,,,,,,,,,,,,,,,0.092,;3;9;5;2,105.0
32,parsec,1.48136e+18,1481353479,parsec.bodytrack,1.48136e+12,0,True,0.26,500675830.5,3578152.5,27586120.0,77.188,16095,124.005,60022,0,33059223.5,2216.16,0,33372553.0,16089,1784518218.0,0.001,;3;9;5;5,2,base,0.216,0.708333333333,0.221,19.94,6,25.254,,,,,,,,,,,,,,,0.108,;3;9;5;5;2,106.0
33,parsec,1.48136e+18,1481353479,parsec.bodytrack,1.48136e+12,0,True,0.289,467289438.0,3559379.0,21459778.5,90.095,12493,959.975,40530,0,26319199.5,3130.422,0,71891815.5,12493,6025045834.0,0.001,;6;16;6;14;11;5,2,base,0.372,0.411290322581,0.379,25.444,4,30.758,,,,,,,,,,,,,,,0.186,;6;16;6;14;11;5;2,113.0
34,parsec,1.48135e+18,1481353479,parsec.bodytrack,1.48135e+12,0,True,0.336,378113833.5,2014047.5,20386896.0,33.799,9337,21.0,21026,0,5684998.5,1165.82,0,16381170.5,9334,57256424.0,0.001,;7,2,base,0.167,0.916167664671,0.195,16.891,6,22.175,,,,,,,,,,,,,,,0.084,;7;2,150.0
35,parsec,1.48137e+18,1481353479,parsec.bodytrack,1.48137e+12,0,True,0.283,315887698.5,3002487.0,13344647.5,98.118,6057,49.0,16924,0,11585867.5,3393.258,0,4585419.0,6053,9722611460.0,0.001,;7;2;6;20;4;9;8,2,base,0.587,0.260647359455,0.587,11.811,2,18.025,,,,,,,,,,,,,,,0.293,;7;2;6;20;4;9;8;2,196.0
36,parsec,1.48135e+18,1481353479,parsec.bodytrack,1.48135e+12,0,True,0.337,391601998.0,1919934.5,20218098.5,35.651,9328,4975.03,20517,0,6351264.0,1160.598,0,19369611.5,9327,50603223.0,0.001,;8,2,base,0.157,0.974522292994,0.187,18.792,8,24.624,,,,,,,,,,,,,,,0.079,;8;2,176.0
37,parsec,1.48136e+18,1481353479,parsec.bodytrack,1.48136e+12,0,True,0.274,330384073.5,3251321.5,14684104.0,97.624,7249,126.015,23893,0,15097783.0,3367.602,0,65742917.0,7246,9486933998.0,0.001,;8;2;9;1;15;11;20,2,base,0.515,0.297087378641,0.515,27.312,2,33.234,,,,,,,,,,,,,,,0.258,;8;2;9;1;15;11;20;2,518.0
38,parsec,1.48135e+18,1481353479,parsec.dedup,1.48135e+12,0,True,0.377,386507620.0,1872314.5,16675603.5,19.027,7362,43.0,28365,0,5693091.5,672.578,0,38194906.5,7362,72046484.5,0.001,;,2,base,0.376,1.0,0.382,190.033,4,195.461,,,,,,,,,,,,,,,0.188,;3,
39,parsec,1.48135e+18,1481353479,parsec.dedup,1.48135e+12,0,True,0.31,421345565.5,2022896.0,23900495.5,32.937,11904,14.0,45259,0,8165590.5,1159.18,0,11842038.0,11905,59972260.5,0.001,;10,2,base,0.385,0.976623376623,0.393,18.106,6,23.637,,,,,,,,,,,,,,,0.193,;10;3,228.0
40,parsec,1.48136e+18,1481353479,parsec.dedup,1.48136e+12,0,True,0.275,601686449.0,2969184.0,32941086.0,67.471,19621,163.001,89671,0,17326084.0,1763.668,0,133823032.5,19620,367426589.0,0.001,;10;3;11,2,base,0.5,0.752,0.517,18.604,6,23.865,,,,,,,,,,,,,,,0.25,;10;3;11;3,258.0
41,parsec,1.48136e+18,1481353479,parsec.dedup,1.48136e+12,0,True,0.262,514904888.5,3430975.5,26609755.5,83.216,16937,1068.981,70865,0,25806846.5,2594.387,0,62439184.5,16934,3963972148.0,0.001,;10;3;11;15;18,2,base,0.654,0.574923547401,0.724,22.347,4,28.992,,,,,,,,,,,,,,,0.327,;10;3;11;15;18;3,449.0
42,parsec,1.48136e+18,1481353479,parsec.dedup,1.48136e+12,0,True,0.267,507828183.0,3363712.5,26826170.5,81.226,17050,71.0,58382,0,24100033.0,2538.254,0,123281681.5,17049,3715391723.0,0.001,;11;13;15;6;19,2,base,0.665,0.565413533835,0.761,23.793,4,29.45,,,,,,,,,,,,,,,0.333,;11;13;15;6;19;3,473.0
43,parsec,1.48136e+18,1481353479,parsec.dedup,1.48136e+12,0,True,0.273,413220452.0,3022338.5,20466540.5,87.643,11490,68.0,43025,0,15561033.5,3012.875,0,92857517.0,11491,6275398952.0,0.001,;12;18;11;1;18;19,2,base,1.242,0.302737520129,1.242,26.577,2,33.215,,,,,,,,,,,,,,,0.621,;12;18;11;1;18;19;3,475.0
44,parsec,1.48136e+18,1481353479,parsec.dedup,1.48136e+12,0,True,0.289,648432489.5,3129268.0,34412348.5,64.943,23497,48.999,86310,0,24916826.0,1854.074,0,77291170.0,23503,360388063.0,0.001,;13;15;18,2,base,0.486,0.77366255144,0.505,19.199,4,27.987,,,,,,,,,,,,,,,0.243,;13;15;18;3,453.0
45,parsec,1.48136e+18,1481353479,parsec.dedup,1.48136e+12,0,True,0.282,552738582.0,3065224.5,32052945.5,63.526,20851,2960.906,59204,0,21343648.5,2228.551,0,82581612.5,20848,609245480.0,0.001,;13;15;18;3,2,base,0.547,0.687385740402,0.619,21.28,4,27.667,,,,,,,,,,,,,,,0.274,;13;15;18;3;3,44.0
46,parsec,1.48136e+18,1481353479,parsec.dedup,1.48136e+12,0,True,0.267,547479084.0,3529417.0,28439816.0,83.153,18258,84.989,72439,0,26565882.5,2583.48,0,47966483.0,18258,3787834292.0,0.001,;13;15;18;3;9,2,base,0.665,0.565413533835,0.678,124.521,4,131.624,,,,,,,,,,,,,,,0.333,;13;15;18;3;9;3,203.0
47,parsec,1.48136e+18,1481353479,parsec.dedup,1.48136e+12,0,True,0.286,328059006.0,2972915.5,13873468.5,97.795,6751,28.0,21281,0,12687591.0,3467.973,0,310644167.0,6747,9517583048.0,0.001,;14;16;9;13;20;13;20,2,base,4.851,0.0775097917955,4.851,30.61,2,36.852,,,,,,,,,,,,,,,2.425,;14;16;9;13;20;13;20;3,498.0
48,parsec,1.48137e+18,1481353479,parsec.dedup,1.48137e+12,0,True,0.283,331560338.0,3097838.5,13935243.0,99.185,6762,105.0,24214,0,14719942.0,3416.539,0,23804835.0,6758,9516223999.0,0.001,;15;6;11;8;14;6;18,2,base,6.527,0.0576068637965,6.527,13.039,2,18.584,,,,,,,,,,,,,,,3.264,;15;6;11;8;14;6;18;3,456.0
49,parsec,1.48136e+18,1481353479,parsec.dedup,1.48136e+12,0,True,0.284,446732701.0,3223540.0,21616712.0,87.15,12324,123.999,41972,0,18324594.0,3036.16,0,45810263.0,12324,6006138975.0,0.001,;16;19;17;8;11;17,2,base,1.488,0.252688172043,1.488,25.94,2,31.327,,,,,,,,,,,,,,,0.744,;16;19;17;8;11;17;3,429.0
50,parsec,1.48136e+18,1481353479,parsec.dedup,1.48136e+12,0,True,0.277,486535304.5,2957605.0,24880465.0,81.11,15062,89.998,56290,0,17015893.0,2233.703,0,19270260.5,15057,2217606137.0,0.001,;18;8;7;20,2,base,0.614,0.612377850163,0.625,21.085,4,26.182,,,,,,,,,,,,,,,0.307,;18;8;7;20;3,501.0
51,parsec,1.48136e+18,1481353479,parsec.dedup,1.48136e+12,0,True,0.272,515379891.8,2725572.0,28745179.75,67.138,17105,131.007,65075,0,17126990.75,1879.328,0,82404715.5,17104,561639327.5,0.001,;19;17;8,2,base,0.442,0.850678733032,0.484,18.728,6,23.783,,,,,,,,,,,,,,,0.221,;19;17;8;3,187.0
52,parsec,1.48136e+18,1481353479,parsec.dedup,1.48136e+12,0,True,0.272,476739404.0,3097497.5,25402512.0,78.081,15138,141.001,49597,0,18796888.0,2187.016,0,3460633.0,15137,2190913779.0,0.001,;19;17;8;7,2,base,0.442,0.850678733032,0.452,22.374,4,31.624,,,,,,,,,,,,,,,0.221,;19;17;8;7;3,158.0
53,parsec,1.48136e+18,1481353479,parsec.dedup,1.48136e+12,0,True,0.282,422730206.0,3147468.5,19257558.0,91.233,10716,69.002,38532,0,16207367.0,3073.066,0,164884646.5,10713,6631877465.0,0.001,;19;17;8;7;4;10,2,base,1.102,0.341197822142,1.102,27.045,2,32.563,,,,,,,,,,,,,,,0.551,;19;17;8;7;4;10;3,239.0
54,parsec,1.48136e+18,1481353479,parsec.dedup,1.48136e+12,0,True,0.275,501311683.5,3371232.0,25363332.5,82.628,15394,196.002,58459,0,20980310.0,2325.113,0,112616305.0,15393,3749740710.0,0.001,;1;9;19;20;10,2,base,0.643,0.584758942457,0.71,23.074,4,28.766,,,,,,,,,,,,,,,0.322,;1;9;19;20;10;3,240.0
55,parsec,1.48136e+18,1481353479,parsec.dedup,1.48136e+12,0,True,0.274,378748098.5,3101373.0,18621421.5,91.208,10206,129.999,31891,0,15417196.0,2763.602,0,46129310.5,10205,6659828635.0,0.001,;2;16;7;7;9;9,2,base,1.567,0.239948947033,1.567,27.917,2,33.33,,,,,,,,,,,,,,,0.783,;2;16;7;7;9;9;3,215.0
56,parsec,1.48136e+18,1481353479,parsec.dedup,1.48136e+12,0,True,0.303,346726199.5,2999334.0,13668991.0,99.184,6550,19.0,20510,0,11656989.5,3170.75,0,879960.5,6541,9629678771.0,0.001,;2;16;7;7;9;9;20,2,base,7.292,0.0515633571037,7.292,27.583,2,34.41,,,,,,,,,,,,,,,3.646,;2;16;7;7;9;9;20;3,510.0
57,parsec,1.48136e+18,1481353479,parsec.dedup,1.48136e+12,0,True,0.276,504675899.0,3460544.0,25118914.0,84.365,15454,955.017,57463,0,24541939.0,2619.863,0,62777187.5,15442,4092301300.0,0.001,;4;16;14;12;20,2,base,0.872,0.43119266055,0.884,24.508,4,30.606,,,,,,,,,,,,,,,0.436,;4;16;14;12;20;3,514.0
58,parsec,1.48135e+18,1481353479,parsec.dedup,1.48135e+12,0,True,0.336,469274151.0,2423435.0,21736842.5,35.66,10344,24.0,48385,0,17519624.5,1149.344,0,11317279.0,10344,69808903.5,0.001,;5,2,base,0.389,0.966580976864,0.446,18.551,6,24.599,,,,,,,,,,,,,,,0.195,;5;3,94.0
59,parsec,1.48136e+18,1481353479,parsec.dedup,1.48136e+12,0,True,0.263,631138122.5,3272020.5,34277527.0,55.753,21807,95.999,94192,0,40064732.5,1802.328,0,119508481.0,21800,407660325.5,0.001,;5;3;15,2,base,0.502,0.749003984064,0.518,23.185,6,29.988,,,,,,,,,,,,,,,0.251,;5;3;15;3,382.0
60,parsec,1.48136e+18,1481353479,parsec.dedup,1.48136e+12,0,True,0.292,654858000.0,3687971.5,30552492.5,77.913,19558,66.999,85272,0,32298246.5,2146.348,0,36401577.0,19554,2048183798.0,0.001,;5;3;15;18,2,base,0.501,0.750499001996,0.543,25.096,4,32.442,,,,,,,,,,,,,,,0.251,;5;3;15;18;3,467.0
61,parsec,1.48136e+18,1481353479,parsec.dedup,1.48136e+12,0,True,0.318,619944800.0,3351254.0,25772877.0,85.669,15531,6657.053,69464,0,26604629.0,2633.34,0,20102789.5,15522,3987090138.0,0.001,;5;3;15;18;9,2,base,0.598,0.628762541806,0.616,29.445,4,35.484,,,,,,,,,,,,,,,0.299,;5;3;15;18;9;3,221.0
62,parsec,1.48136e+18,1481353479,parsec.dedup,1.48136e+12,0,True,0.295,483927720.5,4038586.0,20221184.0,91.233,10936,1941.005,45130,0,24503483.5,2927.129,0,110280441.5,10937,6605633037.0,0.001,;5;3;15;18;9;6,2,base,1.295,0.290347490347,1.295,28.456,2,33.947,,,,,,,,,,,,,,,0.647,;5;3;15;18;9;6;3,143.0
63,parsec,1.48136e+18,1481353479,parsec.dedup,1.48136e+12,0,True,0.311,608809592.0,2966333.5,28752113.0,68.097,16216,150.997,63476,0,23517239.5,1884.777,0,119126207.0,16219,557140302.5,0.001,;6;16;6,2,base,0.443,0.848758465011,0.464,18.515,6,24.651,,,,,,,,,,,,,,,0.222,;6;16;6;3,145.0
