index,name,time,benchmark_grp,benchmark_id,benchtime_ms,cores,dataprocessed,host_IPC,host_IPS,host_cache_misses,host_cache_ref,host_cpupercent,host_cs,host_disk_io,host_kvm_exit,host_llc_bw,host_mem_bw,host_memory,host_net_io,host_sched_iowait,host_sched_switch,host_sched_wait,intensity,interference,interval,kernel,latency,performance,latency90,process_dur_ms,throughput,total_dur_ms,weighted_latency,index_prev
24,parsec,1.48E+18,1481850074,img_processing,1.48E+12,0,TRUE,0.298,350360012.5,2541559.5,18229879,29.912,7482,5,15563,0,26905163,1122.598,212.594,4974872,7476,43725135.5,0.001,;11,2,base,0.109635,0.937912163,114.127,19.075,34,24.89,54.818,23
25,parsec,1.48E+18,1481850074,prev,1.48E+12,0,TRUE,0.372,342921807,1842492.5,17036652.5,17.11,6625,50.998,14216,0,3235351,1116.473,4.27,16222717,6621,46211756,0.001,;12,2,base,0.000001,102828,0.001,20.534,2,26.491,0.001,
26,parsec,1.48E+18,1481850074,img_processing,1.48E+12,0,TRUE,0.287,373094679,2541254,20113883,29.175,8986,24,21958,0,28465343,1114.555,219.871,8325725,8982,52681370,0.001,;12,2,base,0.108603,0.946824673,112.727,19.632,34,24.894,54.301,25
27,parsec,1.48E+18,1481850074,prev,1.48E+12,0,TRUE,0.365,331922355.5,1813142,16073380.5,17.528,6733,49.005,12757,0,3157425.5,1113.422,4.745,10448260.5,6736,38393674.5,0.001,;13,2,base,0.000001,102828,0.001,20.29,2,26.836,0.001,
28,parsec,1.48E+18,1481850074,img_processing,1.48E+12,0,TRUE,0.283,364373579,2607925.5,20161945.5,28.364,8827,27.999,19772,0,28362433.5,1115.855,226.903,15112113,8823,46103448.5,0.001,;13,2,base,0.112895,0.910828646,120.422,20.886,34,26.968,56.447,27
29,parsec,1.48E+18,1481850074,prev,1.48E+12,0,TRUE,0.357,376415151,1924779,19489351,18.353,9641,19.001,22562,0,8486730.5,1118.863,4.767,85572857,9631,51237234.5,0.001,;14,2,base,0.000001,102828,0.001,19.04,2,24.247,0.001,
30,parsec,1.48E+18,1481850074,img_processing,1.48E+12,0,TRUE,0.31,466166080.5,2656064.5,22965216.5,29.442,13313,27,36545,0,37038263,1107.809,216.352,6855262,13309,64996774.5,0.001,;14,2,base,0.112736,0.912113256,120.462,21.01,34,27.815,56.368,29
31,parsec,1.48E+18,1481850074,prev,1.48E+12,0,TRUE,0.373,394410795.5,1973584,18759556,17.457,9297,31.998,22075,0,7741188,1105.188,4.452,10383725.5,9292,55534231.5,0.001,;15,2,base,0.000001,102828,0.001,22.124,2,28.707,0.001,
32,parsec,1.48E+18,1481850074,img_processing,1.48E+12,0,TRUE,0.289,436114473,2717968.5,23283270.5,29.721,13388,38,35647,0,37442950,1099.371,212.473,24685244,13389,84642263,0.001,;15,2,base,0.113673,0.904594759,120.959,18.555,34,23.919,56.837,31
33,parsec,1.48E+18,1481850074,prev,1.48E+12,0,TRUE,0.367,338462763,1879035,16705457,16.982,6360,9,11329,0,3286827,1098.297,4.115,15369365.5,6355,57489319,0.001,;16,2,base,0.000001,102828,0.001,20.783,2,26.292,0.001,
34,parsec,1.48E+18,1481850074,img_processing,1.48E+12,0,TRUE,0.288,365977335,2544950.5,19779933,29.282,8415,23.999,18531,0,28179771,1103.43,182.55,3655009,8414,54402961,0.001,;16,2,base,0.135605,0.758290624,144.82,111.672,28,117.032,67.802,33
35,parsec,1.48E+18,1481850074,prev,1.48E+12,0,TRUE,0.365,327238996,1872200.5,16415737,18.521,6213,1648.074,10884,0,4070647.5,1102.395,4.541,46990446.5,6214,37567163,0.001,;17,2,base,0.000001,102828,0.001,20.606,2,26.586,0.001,
36,parsec,1.48E+18,1481850074,img_processing,1.48E+12,0,TRUE,0.282,352317192.5,2659105,18652920.5,29.114,8022,36,17410,0,29739158,1099.078,232.438,19226437.5,8020,43145148,0.001,;17,2,base,0.109958,0.93515706,115.228,19.794,34,27.51,54.979,35
37,parsec,1.48E+18,1481850074,prev,1.48E+12,0,TRUE,0.367,331711841.5,1853348.5,16606256,18.336,6383,151.01,11468,0,3119189.5,1102.371,4.809,11373889.5,6377,46420739.5,0.001,;18,2,base,0.000001,102828,0.001,20.976,2,26.44,0.001,
38,parsec,1.48E+18,1481850074,img_processing,1.48E+12,0,TRUE,0.29,356335293.5,2547742.5,18192395,30.391,7605,6,16256,0,27247162,1101.32,228.483,13456028,7607,42177090,0.001,;18,2,base,0.109934,0.935361217,117.563,19.373,34,26.534,54.967,37
39,parsec,1.48E+18,1481850074,prev,1.48E+12,0,TRUE,0.373,349742215.5,1872857,16701613,17.695,6205,5,11465,0,3450983.5,1092.188,4.762,7157634,6205,47970009.5,0.001,;19,2,base,0.000001,102828,0.001,23.468,2,28.932,0.001,
40,parsec,1.48E+18,1481850074,img_processing,1.48E+12,0,TRUE,0.292,368129873,2684359,19546169,29.43,8171,92,18312,0,28688143,1082.16,211.885,8249664.5,8171,49084751.5,0.001,;19,2,base,0.112728,0.912177986,117.889,19.359,34,24.858,56.364,39
41,parsec,1.48E+18,1481850074,prev,1.48E+12,0,TRUE,0.365,322009178.5,1771505,13964844,22.208,4898,986.985,8378,0,3135792,1081.191,4.451,359586073,4898,22194484.5,0.001,;20,2,base,0.000001,102828,0.001,21.725,2,30.232,0.001,
42,parsec,1.48E+18,1481850074,img_processing,1.48E+12,0,TRUE,0.3,324350666,2520817.5,15689217.5,33.65,5731,20,10364,0,27333630.5,1080.23,233.134,64300569,5732,58687750,0.001,;20,2,base,0.108231,0.950078998,114.982,21.767,36,27.567,54.115,41
43,parsec,1.48E+18,1481850074,prev,1.48E+12,0,TRUE,0.332,416739114.5,2041828,22047086.5,33.058,10361,2529.088,22077,0,5986751,1268.242,5.841,1961070929,10360,46458082.5,0.001,;1;4,2,base,0.000001,102828,0.001,22.569,2,27.803,0.001,
44,parsec,1.48E+18,1481850074,img_processing,1.48E+12,0,TRUE,0.292,424193010,2820976.5,22063211,47.345,10439,91,28599,0,23321175,1255.336,198.82,47772718.5,10436,130727380,0.001,;1;4,2,base,0.121421,0.846871628,147.498,26.145,32,1041.436,60.711,43
45,parsec,1.48E+18,1481850074,img_processing,1.48E+12,0,TRUE,0.266,418102306.5,2834475,25942052,44.719,12319,62.002,29672,0,29626268.5,1232.098,188.252,22795869.5,12316,87204995,0.001,;2;10,2,base,0.142168,0.723285127,163.838,21.122,28,27.76,71.084,
46,parsec,1.48E+18,1481850074,prev,1.48E+12,0,TRUE,0.314,425741384.5,2069988.5,21833227,39.075,10415,66.003,40712,0,8253437,1243.207,5.785,85956118.5,10412,53289322.5,0.001,;3;20,2,base,0.000001,102828,0.001,21.451,2,29.221,0.001,
47,parsec,1.48E+18,1481850074,img_processing,1.48E+12,0,TRUE,0.283,438200593.5,2722603.5,22106704,52.226,10871,30,42745,0,33779796,1280.121,218.788,19996554.5,10874,110535965.5,0.001,;3;20,2,base,0.121082,0.849242662,148.592,20.349,32,26.158,60.541,46
48,parsec,1.48E+18,1481850074,prev,1.48E+12,0,TRUE,0.323,398025079,2060359,21297317,34.259,9518,38,22571,0,6721832.5,1287.383,5.745,15851913,9516,61904767,0.001,;4;11,2,base,0.000001,102828,0.001,23.01,2,28.496,0.001,
49,parsec,1.48E+18,1481850074,img_processing,1.48E+12,0,TRUE,0.28,396919386,2844440,21855004.5,46.569,10252,25,25886,0,33209616,1286.188,221.11,53799300,10253,101210133.5,0.001,;4;11,2,base,0.128615,0.799502391,158.391,22.825,30,30.408,64.308,48
50,parsec,1.48E+18,1481850074,prev,1.48E+12,0,TRUE,0.303,396571139,2437222.5,21356965.5,36.272,9633,21,22849,0,16442303,1337.27,5.948,102307791,9634,66988695.5,0.001,;5;4,2,base,0.000001,102828,0.001,21.037,2,26.712,0.001,
51,parsec,1.48E+18,1481850074,img_processing,1.48E+12,0,TRUE,0.273,385711709,3045799.5,20306597.5,50.127,9519,56,23674,0,40527380.5,1351.57,211.477,152710370,9517,123406684,0.001,;5;4,2,base,0.117478,0.8752958,130.147,20.284,32,25.735,58.739,50
52,parsec,1.48E+18,1481850074,img_processing,1.48E+12,0,TRUE,0.279,371396055,2886875,19462514.5,51.17,8659,30.999,20606,0,33189543,1360.293,197.351,22165832,8659,188631425,0.001,;6;8,2,base,0.131095,0.784377741,154.198,21.361,30,28.294,65.547,
53,parsec,1.48E+18,1481850074,prev,1.48E+12,0,TRUE,0.31,393136636,1956413.5,22140588,34.286,10421,47.999,25902,0,4315714.5,1356.004,5.674,22419267.5,10418,64904664,0.001,;7;12,2,base,0.000001,102828,0.001,21.295,2,29.681,0.001,
54,parsec,1.48E+18,1481850074,img_processing,1.48E+12,0,TRUE,0.273,408472737,2729055,23533836,46.46,11150,40,29113,0,28555315,1354.184,191.736,15377255.5,11149,124451402.5,0.001,;7;12,2,base,0.134252,0.765932724,157.035,19.879,28,25.396,67.126,53
55,parsec,1.48E+18,1481850074,prev,1.48E+12,0,TRUE,0.333,384788454,1935468,20755286,34.598,8818,39.001,18809,0,5182341,1364.559,5.817,117997599.5,8820,46514554.5,0.001,;8;19,2,base,0.000001,102828,0.001,20.501,2,26.164,0.001,
56,parsec,1.48E+18,1481850074,img_processing,1.48E+12,0,TRUE,0.28,399346533.5,2763089,21992091,46.705,10250,37.998,24271,0,29616796,1356.418,192.057,47570635.5,10244,106660013.5,0.001,;8;19,2,base,0.114327,0.899420084,119.838,19.911,34,27.769,57.163,55
57,parsec,1.48E+18,1481850074,prev,1.48E+12,0,TRUE,0.299,364958046,1987651,20492180,36.639,9040,37.999,21279,0,5914483,1355.809,5.59,18318048,9042,60284963.5,0.001,;9;8,2,base,0.000001,102828,0.001,20.275,2,25.568,0.001,
58,parsec,1.48E+18,1481850074,img_processing,1.48E+12,0,TRUE,0.28,393584614,2881064,20619363,49.557,9595,44,23182,0,33778992.5,1356.293,220.02,29902476.5,9595,178222762,0.001,;9;8,2,base,0.114521,0.897896456,117.581,20.953,34,26.582,57.261,57
59,parsec,1.48E+18,1481850074,prev,1.48E+12,0,TRUE,0.318,397654624,2041993.5,23189659.5,30.921,10816,1588.022,25313,0,5733481.5,1360.52,6.029,6719166,10813,55789057.5,0.001,;10;17,2,base,0.000001,102828,0.001,19.727,2,25.379,0.001,
60,parsec,1.48E+18,1481850074,img_processing,1.48E+12,0,TRUE,0.27,435108757,3013342,24874427.5,42.159,12932,37,32986,0,33245918.5,1358.797,197.782,36508452,12933,97263897.5,0.001,;10;17,2,base,0.129876,0.791739813,149.57,19.469,30,25.759,64.938,59
61,parsec,1.48E+18,1481850074,prev,1.48E+12,0,TRUE,0.338,419161061.5,2094063,19338879.5,35.287,9389,31.999,22741,0,8214484.5,1407.012,5.899,36484823.5,9391,49978805,0.001,;11;6,2,base,0.000001,102828,0.001,24.884,2,31.45,0.001,
62,parsec,1.48E+18,1481850074,img_processing,1.48E+12,0,TRUE,0.287,400764758,2784442,20489803.5,47.159,9756,7,23671,0,34397872,1399.379,185.743,79313888.5,9755,117328803.5,0.001,;11;6,2,base,0.127675,0.805388682,149.59,130.747,30,137.198,63.837,61
