index,name,time,benchmark_grp,benchmark_id,benchtime_ms,cores,dataprocessed,host_IPC,host_IPS,host_cache_misses,host_cache_ref,host_cpupercent,host_cs,host_disk_io,host_kvm_exit,host_llc_bw,host_mem_bw,host_memory,host_net_io,host_sched_iowait,host_sched_switch,host_sched_wait,intensity,interference,interval,kernel,latency,performance,latency90,process_dur_ms,throughput,total_dur_ms,weighted_latency,interference_prev,index_prev
3935,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.643,2828247359.0,472034.0,129969474.5,74.874,1285,80.001,550806.5,0,2957276.553,1623.141,1.699,174212550.0,1285,26232970.0,0.001,;16;20,2,base,0.096,0.958333333333,0.096,17.264,4,23.254,0.048,;16;20;17,4567.0
3936,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.637,2136649328.0,222096.0,98029585.5,50.063,707,5.0,419872.0,0,3003330.072,941.781,2.495,7312386.5,706,9849194.75,0.001,;17,2,base,0.094,0.978723404255,0.096,19.224,4,26.514,0.047,;17;17,3892.0
3937,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.638,3229856414.0,504568.0,148298082.5,74.875,1187,117.0,630048.0,0,3378665.311,1679.109,2.125,60452108.5,1186,16821581.0,0.001,;17;18,2,base,0.096,0.958333333333,0.097,16.77,4,21.958,0.048,;17;18;17,4152.0
3938,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.64,2917308895.0,509634.0,133662486.5,74.937,1050,75.0,565828.0,0,3794518.631,1656.016,1.879,10245832.0,1047,18658260.0,,;17;20,2,0.001,0.096,0.958333333333,0.096,19.049,4,25.068,0.048,;17;20;17,4572.0
3939,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.64,2765261991.0,563804.5,128491435.5,74.985,1284,100.0,537147.5,0,4399419.998,1672.375,2.269,10109097.5,1283,26792682.0,0.001,;17;8,2,base,0.094,0.978723404255,0.096,18.463,4,26.709,0.047,;17;8;17,1986.0
3940,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.637,2148820345.0,203101.0,98895653.5,49.625,621,2.0,424607.0,0,1668510.561,936.523,4.285,14063185.0,619,5822027.5,0.001,;18,2,base,0.094,0.978723404255,0.094,21.409,4,28.817,0.047,;18;17,4112.0
3941,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.65,2759760367.0,506067.0,123222156.0,75.063,1072,80.0,529517.0,0,3887381.446,1660.957,1.757,14951014.0,1067,20762239.5,0.001,;17;20,2,base,0.095,0.968421052632,0.097,18.731,4,25.42,0.048,;18;12;17,4572.0
3942,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.635,3120722745.0,571970.5,144708811.0,74.279,1175,107.997,618504.75,0,4895553.319,1583.016,1.956,43797041.75,1175,20969744.75,0.001,;18;14,2,base,0.094,0.978723404255,0.094,17.106,4,22.869,0.047,;18;14;17,3296.0
3943,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.645,3139810369.0,542773.0,142107554.0,75.063,1229,91.998,604104.5,0,3514382.844,1665.57,1.826,11824588.5,1228,24608993.5,0.001,;18;18,2,base,0.094,0.978723404255,0.095,15.377,4,21.498,0.047,;18;18;17,4159.0
3944,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.637,2891407357.0,566082.0,132460555.0,74.906,1147,35.0,564072.5,0,5416604.686,1677.109,1.646,11042982.0,1146,21994657.5,0.001,;18;6,2,base,0.094,0.978723404255,0.095,16.525,4,23.346,0.047,;18;6;17,1569.0
