TIMESTAMP,RESPONSE_TIME,EXECUTION_TIME,SERVER_IP,STATE
1482821922691,398.064,154.441,129.59.234.136,0
1482821922991,294.204,155.986,129.59.234.136,0
1482821923318,320.578,155.465,129.59.234.136,0
1482821923623,297.684,153.389,129.59.234.136,0
1482821923937,307.279,154.78,129.59.234.136,0
1482821924246,301.945,156.282,129.59.234.136,0
1482821924559,305.957,154.494,129.59.234.136,0
1482821924896,330.131,153.991,129.59.234.136,0
1482821925187,283.857,154.814,129.59.234.136,0
1482821925481,288.056,155.071,129.59.234.136,0
1482821925775,285.314,153.988,129.59.234.136,0
1482821926057,275.606,155.649,129.59.234.136,0
1482821926355,291.565,156.899,129.59.234.136,0
1482821926638,276.117,155.568,129.59.234.136,0
1482821926929,283.94,155.629,129.59.234.136,0
1482821927223,287.851,156.695,129.59.234.136,0
1482821927530,294.696,156.121,129.59.234.136,0
1482821927833,296.181,156.707,129.59.234.136,0
1482821928152,309.557,156.048,129.59.234.136,0
1482821928446,286.82,156.356,129.59.234.136,0
1482821928738,285.239,156.499,129.59.234.136,0
1482821929033,288.089,156.335,129.59.234.136,0
1482821929326,285.854,156.592,129.59.234.136,0
1482821929617,283.979,156.311,129.59.234.136,0
1482821929908,284.043,155.399,129.59.234.136,0
1482821930213,298.011,157.661,129.59.234.136,0
1482821930510,289.052,156.917,129.59.234.136,0
1482821930806,289.546,155.381,129.59.234.136,0
1482821931118,304.497,156.557,129.59.234.136,0
1482821931434,308.708,156.295,129.59.234.136,0
1482821931766,325.33,156.389,129.59.234.136,0
1482821932069,296.067,157.031,129.59.234.136,0
1482821932384,307.466,156.605,129.59.234.136,0
1482821932685,289.6,156.035,129.59.234.136,0
1482821932987,293.991,157.074,129.59.234.136,0
1482821933274,281.178,156.097,129.59.234.136,0
1482821933592,311.531,157.25,129.59.234.136,0
1482821933893,293.459,156.549,129.59.234.136,0
1482821934206,305.646,156.507,129.59.234.136,0
1482821934508,294.995,156.754,129.59.234.136,0
1482821934796,281.345,156.09,129.59.234.136,0
1482821935111,307.022,154.138,129.59.234.136,0
1482821935415,296.936,154.624,129.59.234.136,0
1482821935744,321.825,154.858,129.59.234.136,0
1482821936062,310.863,156.889,129.59.234.136,0
1482821936363,294.298,155.464,129.59.234.136,0
1482821936687,316.905,155.966,129.59.234.136,0
1482821936982,287.33,155.705,129.59.234.136,0
1482821937265,276.044,155.723,129.59.234.136,0
1482821937548,276.004,154.717,129.59.234.136,0
1482821937838,280.999,155.75,129.59.234.136,0
1482821938122,277.051,154.469,129.59.234.136,0
1482821938425,295.782,155.885,129.59.234.136,0
1482821938708,276.446,155.498,129.59.234.136,0
1482821939001,285.233,158.915,129.59.234.136,0
1482821939294,286.126,155.792,129.59.234.136,0
1482821939589,288.326,155.667,129.59.234.136,0
1482821939874,277.359,156.055,129.59.234.136,0
1482821940164,282.854,155.427,129.59.234.136,0
1482821940444,274.782,157.167,129.59.234.136,0
1482821940747,295.748,156.929,129.59.234.136,0
1482821941048,293.999,156.915,129.59.234.136,0
