TIMESTAMP,RESPONSE_TIME,EXECUTION_TIME,SERVER_IP,STATE
1482823042169,362.072,154.732,129.59.234.136,0
1482823042487,311.29,154.502,129.59.234.136,0
1482823042816,320.711,154.583,129.59.234.136,0
1482823043124,300.435,156.936,129.59.234.136,0
1482823043461,330.547,155.413,129.59.234.136,0
1482823043784,315.609,156.222,129.59.234.136,0
1482823044068,277.343,155.786,129.59.234.136,0
1482823044385,311.433,156.08,129.59.234.136,0
1482823044712,320.191,157.729,129.59.234.136,0
1482823045027,308.498,157.708,129.59.234.136,0
1482823045336,302.667,155.325,129.59.234.136,0
1482823045623,279.261,156.199,129.59.234.136,0
1482823045942,312.618,156.111,129.59.234.136,0
1482823046238,288.542,156.283,129.59.234.136,0
1482823046556,311.54,156.393,129.59.234.136,0
1482823046905,327.934,156.936,129.59.234.136,0
1482823047219,306.988,157.007,129.59.234.136,0
1482823047533,306.268,157.678,129.59.234.136,0
1482823047842,300.621,157.007,129.59.234.136,0
1482823048140,291.283,156.641,129.59.234.136,0
1482823048476,329.55,156.388,129.59.234.136,0
1482823048784,300.706,156.51,129.59.234.136,0
1482823049074,283.158,157.848,129.59.234.136,0
1482823049387,305.599,156.774,129.59.234.136,0
1482823049690,296.362,156.385,129.59.234.136,0
1482823050008,310.798,155.451,129.59.234.136,0
1482823050318,303.639,156.664,129.59.234.136,0
1482823050618,293.799,156.43,129.59.234.136,0
1482823050923,297.881,156.836,129.59.234.136,0
1482823051245,315.53,157.317,129.59.234.136,0
1482823051571,318.222,156.872,129.59.234.136,0
1482823051891,309.259,157.751,129.59.234.136,0
1482823052211,313.786,155.999,129.59.234.136,0
1482823052533,314.838,156.872,129.59.234.136,0
1482823052863,321.471,157.569,129.59.234.136,0
1482823053223,354.255,156.601,129.59.234.136,0
1482823053545,315.74,158.065,129.59.234.136,0
1482823053856,304.338,156.384,129.59.234.136,0
1482823054169,305.316,157.499,129.59.234.136,0
1482823054510,333.952,157.331,129.59.234.136,0
1482823054806,288.851,156.534,129.59.234.136,0
1482823055117,304.062,156.702,129.59.234.136,0
1482823055435,310.442,155.93,129.59.234.136,0
1482823055760,317.23,156.323,129.59.234.136,0
1482823056087,320.442,156.6,129.59.234.136,0
1482823056422,327.393,155.711,129.59.234.136,0
1482823056726,296.435,157.977,129.59.234.136,0
1482823057048,313.712,157.34,129.59.234.136,0
1482823057376,320.757,156.526,129.59.234.136,0
1482823057691,309.987,156.411,129.59.234.136,0
1482823057999,297.719,156.89,129.59.234.136,0
1482823058314,308.616,157.61,129.59.234.136,0
1482823058619,298.775,155.319,129.59.234.136,0
1482823058948,321.825,155.811,129.59.234.136,0
1482823059278,322.06,157.888,129.59.234.136,0
1482823059597,312.085,157.418,129.59.234.136,0
1482823059910,305.798,156.055,129.59.234.136,0
1482823060221,304.393,157.478,129.59.234.136,0
1482823060507,276.288,159.009,129.59.234.136,0
1482823060795,281.538,158.703,129.59.234.136,0
1482823061092,290.936,158.983,129.59.234.136,0
1482823061371,272.548,157.054,129.59.234.136,0
1482823061653,275.601,157.175,129.59.234.136,0
1482823061945,285.981,157.016,129.59.234.136,0
1482823062238,284.744,156.304,129.59.234.136,0
1482823062530,284.957,156.12,129.59.234.136,0
1482823062821,281.985,155.936,129.59.234.136,0
1482823063118,290.108,156.076,129.59.234.136,0
1482823063406,281.205,154.329,129.59.234.136,0
1482823063685,272.339,154.068,129.59.234.136,0
1482823063981,289.35,155.227,129.59.234.136,0
1482823064256,268.44,157.012,129.59.234.136,0
1482823064551,287.86,155.875,129.59.234.136,0
1482823064852,295.262,156.087,129.59.234.136,0
1482823065143,280.926,156.916,129.59.234.136,0
1482823065431,281.186,156.527,129.59.234.136,0
1482823065725,286.908,155.839,129.59.234.136,0
1482823066015,283.039,156.293,129.59.234.136,0
1482823066309,288.262,157.127,129.59.234.136,0
1482823066620,304.332,156.391,129.59.234.136,0
1482823066925,298.403,171.419,129.59.234.136,0
1482823067227,294.48,156.625,129.59.234.136,0
1482823067511,275.637,156.59,129.59.234.136,1
1482823067802,282.545,155.499,129.59.234.136,1
1482823068097,288.384,156.741,129.59.234.136,1
1482823068383,279.912,155.402,129.59.234.136,1
1482823068674,283.937,155.788,129.59.234.136,2
1482823068970,288.802,155.282,129.59.234.136,2
1482823069260,283.52,156.923,129.59.234.136,2
1482823069545,277.591,156.295,129.59.234.136,2
1482823069833,278.826,155.064,129.59.234.136,2
1482823070115,275.464,155.574,129.59.234.136,2
1482823070390,268.206,155.851,129.59.234.136,2
1482823070668,270.972,155.473,129.59.234.136,2
1482823070949,273.719,156.494,129.59.234.136,2
1482823071238,281.999,159.314,129.59.234.136,2
1482823071515,270.695,156.996,129.59.234.136,2
1482823071792,269.533,156.963,129.59.234.136,2
1482823072079,277.584,157.863,129.59.234.136,2
1482823072381,295.561,157.594,129.59.234.136,2
1482823072672,280.348,157.609,129.59.234.136,2
1482823072967,288.326,158.656,129.59.234.136,2
1482823073270,296.033,161.13,129.59.234.136,2
1482823073543,265.727,157.987,129.59.234.136,2
1482823073832,282.765,155.224,129.59.234.136,2
1482823074136,296.998,155.866,129.59.234.136,2
1482823074426,281.561,155.411,129.59.234.136,2
1482823074716,283.313,155.096,129.59.234.136,2
1482823075001,278.11,155.046,129.59.234.136,2
1482823075300,292.152,156.159,129.59.234.136,2
1482823075581,273.684,155.811,129.59.234.136,2
1482823075864,276.058,155.105,129.59.234.136,2
1482823076145,274.328,154.954,129.59.234.136,2
1482823076441,288.601,155.929,129.59.234.136,2
1482823076722,273.003,155.302,129.59.234.136,2
1482823077004,275.043,157.206,129.59.234.136,2
1482823077290,279.536,157.547,129.59.234.136,2
1482823077575,277.941,155.798,129.59.234.136,2
1482823077896,309.122,157.268,129.59.234.136,2
1482823078181,279.444,157.301,129.59.234.136,2
1482823078470,282.168,157.016,129.59.234.136,2
1482823078764,287.771,156.488,129.59.234.136,2
1482823079047,273.899,157.302,129.59.234.136,2
1482823079335,281.084,157.206,129.59.234.136,2
1482823079625,284.516,156.144,129.59.234.136,2
1482823079912,279.192,156.003,129.59.234.136,2
1482823080205,287.379,156.368,129.59.234.136,2
1482823080497,285.248,156.667,129.59.234.136,2
1482823080793,288.965,156.448,129.59.234.136,2
1482823081088,288.005,157.456,129.59.234.136,2
1482823081374,280.106,157.617,129.59.234.136,2
1482823081660,279.015,157.195,129.59.234.136,2
1482823081954,287.104,156.954,129.59.234.136,2
1482823082233,272.549,155.894,129.59.234.136,2
1482823082517,277.266,156.335,129.59.234.136,2
1482823082809,284.479,156.302,129.59.234.136,2
1482823083082,263.734,156.802,129.59.234.136,2
1482823083369,280.262,156.382,129.59.234.136,2
1482823083663,285.455,155.617,129.59.234.136,2
1482823083954,283.874,155.851,129.59.234.136,2
1482823084238,277.638,155.155,129.59.234.136,2
1482823084533,287.928,154.22,129.59.234.136,2
1482823084825,284.891,155.923,129.59.234.136,2
1482823085114,281.812,155.953,129.59.234.136,2
1482823085398,277.206,155.002,129.59.234.136,2
1482823085688,282.501,155.826,129.59.234.136,2
1482823085977,280.258,155.686,129.59.234.136,2
1482823086264,280.118,155.482,129.59.234.136,2
1482823086550,278.56,155.444,129.59.234.136,2
1482823086843,285.791,155.087,129.59.234.136,2
1482823087140,290.52,156.831,129.59.234.136,2
1482823087431,284.109,156.217,129.59.234.136,2
1482823087716,277.646,155.911,129.59.234.136,2
1482823088006,282.639,155.461,129.59.234.136,2
1482823088295,277.929,155.835,129.59.234.136,2
1482823088593,291.222,156.354,129.59.234.136,2
1482823088882,281.526,156.621,129.59.234.136,2
1482823089168,279.564,156.474,129.59.234.136,2
1482823089442,266.704,157.072,129.59.234.136,2
1482823089739,290.147,155.074,129.59.234.136,2
1482823090022,277.033,156.279,129.59.234.136,2
1482823090324,294.98,154.943,129.59.234.136,2
1482823090608,275.704,157.608,129.59.234.136,2
1482823090896,280.86,157.118,129.59.234.136,2
1482823091190,286.691,157.26,129.59.234.136,2
1482823091476,278.814,157.802,129.59.234.136,2
1482823091774,291.027,156.895,129.59.234.136,2
1482823092065,284.657,156.097,129.59.234.136,2
1482823092370,297.969,156.791,129.59.234.136,2
1482823092670,292.721,156.114,129.59.234.136,2
1482823092958,279.618,156.41,129.59.234.136,2
1482823093241,275.991,156.073,129.59.234.136,2
1482823093549,299.381,156.515,129.59.234.136,2
1482823093831,274.927,155.794,129.59.234.136,2
1482823094120,282.68,158.021,129.59.234.136,2
1482823094402,276.312,157.172,129.59.234.136,2
1482823094691,282.16,156.908,129.59.234.136,2
1482823095006,308.121,157.232,129.59.234.136,2
1482823095286,271.79,157.053,129.59.234.136,2
1482823095587,294.19,157.23,129.59.234.136,2
1482823095884,290.346,156.748,129.59.234.136,2
1482823096174,283.047,157.76,129.59.234.136,2
1482823096486,304.438,156.704,129.59.234.136,2
1482823096776,283.614,156.706,129.59.234.136,2
1482823097058,274.322,157.042,129.59.234.136,2
1482823097351,286.585,157.849,129.59.234.136,2
1482823097648,288.226,155.48,129.59.234.136,2
1482823097950,294.725,155.719,129.59.234.136,2
1482823098242,285.236,156.067,129.59.234.136,2
1482823098543,290.825,156.57,129.59.234.136,2
1482823098828,278.026,156.316,129.59.234.136,2
1482823099114,278.946,156.012,129.59.234.136,2
1482823099406,285.272,156.163,129.59.234.136,2
1482823099700,286.522,154.726,129.59.234.136,2
1482823099986,279.837,154.683,129.59.234.136,2
1482823100273,280.303,155.554,129.59.234.136,2
1482823100573,293.19,154.295,129.59.234.136,2
1482823100866,285.887,155.048,129.59.234.136,2
1482823101153,280.322,155.594,129.59.234.136,3
1482823104580,391.197,324.211,129.59.105.87,3
1482823104780,190.686,127.751,129.59.105.87,3
1482823104954,161.93,95.978,129.59.105.87,3
1482823105181,191.23,140.305,129.59.105.87,3
1482823105372,183.033,141.903,129.59.105.87,3
1482823105548,156.955,109.696,129.59.105.87,3
1482823105727,135.706,96.54,129.59.105.87,3
1482823105935,143.442,96.813,129.59.105.87,3
1482823106179,187.326,143.98,129.59.105.87,3
1482823106364,172.628,129.045,129.59.105.87,3
1482823106536,141.86,97.494,129.59.105.87,3
1482823106729,136.833,97.003,129.59.105.87,3
1482823106935,142.437,99.103,129.59.105.87,3
1482823107163,170.113,129.941,129.59.105.87,3
1482823107329,136.14,96.131,129.59.105.87,3
1482823107530,136.808,96.563,129.59.105.87,3
1482823107733,139.65,95.825,129.59.105.87,3
1482823107934,141.235,98.168,129.59.105.87,3
1482823108132,135.678,97.535,129.59.105.87,3
1482823108333,139.264,98.644,129.59.105.87,3
1482823108532,138.53,97.86,129.59.105.87,3
1482823108731,136.676,97.676,129.59.105.87,3
1482823108962,167.303,124.626,129.59.105.87,3
1482823109134,140.677,98.732,129.59.105.87,3
1482823109334,137.872,97.987,129.59.105.87,3
1482823109540,145.025,97.909,129.59.105.87,3
1482823109736,138.217,96.715,129.59.105.87,3
1482823109936,140.09,97.397,129.59.105.87,3
1482823110137,141.649,98.357,129.59.105.87,3
1482823110366,170.015,129.775,129.59.105.87,3
1482823110547,151.302,109.641,129.59.105.87,3
1482823110732,135.869,96.88,129.59.105.87,3
1482823110941,144.296,98.923,129.59.105.87,3
1482823111144,148.544,107.07,129.59.105.87,3
1482823111339,139.226,99.011,129.59.105.87,3
1482823111538,140.573,97.18,129.59.105.87,3
