Time,Min hop D,Min hop A,Least loaded,CDC,INDICES 2D,INDICES 2A,INDICES 3B,SLO
73,201.1305,193.83975,213.39825,283.972,174.37075,134.93725,146.64525,200
74,198.1935,185.8825,209.0564,285.362,174.89475,118.832,139.77825,200
75,200.6425,192.84075,219.6296667,285.0566667,174.53425,117.013,143.21175,200
76,195.59175,169.093,218.16925,282.3463333,175.408,121.80225,144.7335,200
77,201.78475,168.05175,223.1095,291.8815,175.125,117.8465,143.0765,200
78,198.07,170.534,220.37875,280.7733333,174.57225,125.23,141.8705,200
79,198.7245,166.98825,214.603,300.53525,175.234,123.516,146.785,200
80,194.26075,168.40875,222.6305,289.3806667,175.77075,122.73475,144.58125,200
81,202.54625,169.38775,227.1115,297.3576667,175.5895,137.65675,136.79025,200
82,197.33975,167.96425,218.7665,284.061,176.1235,117.36325,168.84925,200
83,204.074,167.23725,222.611,285.0123333,178.00025,132.67,166.91825,200
84,195.08125,199.825,218.9945,288.39825,176.63925,118.54875,167.8745,200
85,199.03925,213.3485,224.877,287.3943333,176.2225,125.06125,174.7765,200
86,201.38975,211.38425,221.2365,292.1706667,176.77875,123.237,155.51125,200
87,203.20075,215.9225,220.2695,276.04075,176.49775,132.44175,147.20275,200
88,202.335,190.24275,228.4755,276.8476667,178.99025,120.09425,140.2715,200
89,198.37575,211.207,219.066,282.2445,175.8395,124.85325,145.52475,200
90,199.165,218.3145,220.5545,282.1733333,177.91025,124.50075,141.8935,200
91,204.85725,173.3465,217.31125,287.15725,176.6125,111.92025,143.87225,200
92,195.466,190.52475,226.2825,283.696,175.33075,128.15125,146.665,200
93,196.155,212.29175,221.23825,281.61725,177.42675,109.5215,144.2405,200
94,197.64025,180.369,212.55675,289.4533333,175.8395,124.911,154.796,200
95,198.54375,196.414,220.3935,277.916,177.89725,122.43,146.409,200
96,194.34275,177.54825,217.05325,283.087,176.71675,133.54625,146.423,200
97,202.499,168.683,220.02525,284.98025,178.0525,118.9995,147.67375,200
98,193.6875,168.119,216.168,285.134,177.6785,115.31825,149.839,200
99,201.16925,167.8115,223.963,293.1043333,177.59025,134.41175,142.34925,200
100,193.93675,168.914,215.34,284.2925,179.28375,131.25225,146.26125,200
101,192.30525,199.1485,224.30275,290.9523333,177.00925,118.7005,167.91875,200
102,195.8645,168.6865,223.914,282.711,177.17075,118.48975,172.17125,200
103,194.33225,169.15975,212.983,279.6383333,177.67525,129.65975,165.02875,200
